loop#,ALPHA[AXIS_X:0.1],ANGLE[AXIS_X:0.1],BETA[AXIS_X:0.1],EPSILON[AXIS_X:0.1],GAMMA[AXIS_X:0.1],RMAJOR[AXIS_X:0.1],RMINOR[AXIS_X:0.1],X_AVERAGE[AXIS_X:0.1],X_P_AVE[AXIS_X:0.1],I_TOT[AXIS_X:0.1],N_PARTICLES[AXIS_X:0.1],ALPHA[AXIS_X:0.5],ANGLE[AXIS_X:0.5],BETA[AXIS_X:0.5],EPSILON[AXIS_X:0.5],GAMMA[AXIS_X:0.5],RMAJOR[AXIS_X:0.5],RMINOR[AXIS_X:0.5],X_AVERAGE[AXIS_X:0.5],X_P_AVE[AXIS_X:0.5],I_TOT[AXIS_X:0.5],N_PARTICLES[AXIS_X:0.5]
0,-2.72875,1.48913,0.253107,3.8506e-05,33.3696,0.0359657,0.00107063,0,0,0.00192423,99999,-3.48141,1.15109,1.65917,0.000165326,7.90772,0.0395497,0.00418021,0,0,0.00192423,100000
1,-3.3215,1.44999,0.4392,3.3779e-05,27.396,0.0306436,0.00110232,0,0,0.00192423,99997,-4.8965,1.16471,2.17912,0.000158187,11.4614,0.046326,0.00341466,0,0,0.00192423,99997
2,0.126156,-1.55306,0.140148,2.39758e-05,7.24885,0.0131853,0.00181838,0,0,0.00128544,43478,-5.61819,1.16308,2.49112,1.63635e-05,13.072,0.0159252,0.00102752,0,0,0.00128476,43450
3,-0.335494,1.56279,0.0265514,1.14349e-05,41.9019,0.02189,0.000522377,0,0,0.00148176,87730,-9.09894,1.24041,3.15422,4.16715e-05,26.5646,0.0351714,0.00118481,0,0,0.00148179,87731
4,-0.405252,1.55083,0.0572323,1.22782e-05,20.3422,0.0158071,0.000776753,0,0,0.00191257,99691,-8.15723,1.24601,2.78367,4.76609e-05,24.2631,0.035879,0.00132838,0,0,0.00191257,99691
5,-0.708581,1.53895,0.0673921,1.20837e-05,22.2888,0.0164196,0.000735931,0,0,0.00192415,99996,-8.28376,1.25064,2.7826,6.86948e-05,25.02,0.043674,0.0015729,0,0,0.00192415,99996
6,-0.871345,1.50588,0.130533,1.329e-05,13.4774,0.0134115,0.000990944,0,0,0.00192423,99998,-8.17013,1.23934,2.84942,6.14131e-05,23.7771,0.0404093,0.00151978,0,0,0.00192423,99998
7,-0.932252,1.49564,0.149994,1.4323e-05,12.4611,0.0133973,0.0010691,0,0,0.00182677,97065,-7.69536,1.23112,2.7601,5.37069e-05,21.8176,0.0363015,0.00147947,0,0,0.00182677,97065
8,-1.2865,1.49927,0.147422,1.2659e-05,18.0102,0.0151379,0.000836241,0,0,0.000525563,48578,-7.64061,1.23075,2.74427,5.20618e-05,21.6374,0.035598,0.00146249,0,0,0.000522746,48413
9,-0.652767,1.5219,0.106327,2.14916e-05,13.4124,0.0169982,0.00126434,0,0,0.00169522,87591,-5.72355,1.20346,2.26077,4.35186e-05,14.9326,0.0273073,0.00159366,0,0,0.00169518,87555
10,-0.543801,1.50862,0.146462,1.37227e-05,8.8468,0.0110393,0.00124308,0,0,0.00191334,99683,-7.10506,1.23943,2.48776,3.60486e-05,20.6941,0.028881,0.00124817,0,0,0.00191334,99682
11,-0.75435,1.46708,0.212573,9.67893e-06,7.38118,0.00849717,0.00113908,0,0,0.00192423,100000,-8.79325,1.25629,2.89387,3.86242e-05,27.0646,0.0339975,0.00113609,0,0,0.00192423,99999
12,-1.33838,1.4198,0.313423,1.09051e-05,8.9057,0.00996688,0.00109414,0,0,0.00192,99578,-9.34167,1.24309,3.20843,4.91473e-05,27.5109,0.0388352,0.00126554,0,0,0.00191998,99577
13,-0.111404,1.56031,0.094503,1.88724e-05,10.713,0.0142198,0.00132719,0,0,0.00100721,57531,-10.3118,1.23689,3.60705,2.78205e-05,29.7563,0.0304524,0.000913573,0,0,0.00100706,57514
14,-0.875089,1.54465,0.0527265,1.27926e-05,33.4894,0.0207053,0.000617841,0,0,0.00171696,94450,-7.39655,1.23736,2.6037,5.8653e-05,21.3961,0.0374861,0.00156466,0,0,0.00171696,94450
15,-1.3189,1.47161,0.205537,1.28925e-05,13.3284,0.013173,0.000978703,0,0,0.00192362,99982,-7.26418,1.22667,2.64699,5.65556e-05,20.313,0.0360006,0.00157096,0,0,0.00192362,99982
16,-1.87961,1.39811,0.417187,7.45688e-06,10.8655,0.00913604,0.000816206,0,0,0.00192423,99999,-7.72999,1.21874,2.8815,3.88592e-05,21.0837,0.0304901,0.00127449,0,0,0.00192423,99998
17,-0.0622152,1.56077,0.157824,1.42572e-05,6.36068,0.00952336,0.00149708,0,0,0.00137806,53271,-9.56103,1.22135,3.51762,1.70055e-05,26.2716,0.0224946,0.000755981,0,0,0.00137742,53239
18,-0.203464,1.56239,0.042971,1.44389e-05,24.2349,0.018707,0.000771848,0,0,0.00151088,88591,-9.76966,1.25583,3.21316,4.41403e-05,30.016,0.0382807,0.00115307,0,0,0.00151085,88590
19,-0.322756,1.55511,0.0535533,1.22811e-05,20.6182,0.0159147,0.000771685,0,0,0.00190492,99489,-8.93812,1.2476,3.02738,4.46834e-05,26.7194,0.0364374,0.0012263,0,0,0.00190493,99490
20,-0.646485,1.5369,0.0741672,1.15071e-05,19.1182,0.0148407,0.000775373,0,0,0.00192415,99997,-8.66905,1.25313,2.88454,6.35557e-05,26.4002,0.0431166,0.00147404,0,0,0.00192415,99997
21,-0.933248,1.48981,0.161504,1.14713e-05,11.5845,0.0115654,0.000991866,0,0,0.00192404,99994,-8.38083,1.23991,2.91552,5.63657e-05,24.4342,0.0392367,0.00143655,0,0,0.00192404,99994
22,-1.09687,1.48784,0.166065,1.24853e-05,13.2666,0.0129142,0.000966788,0,0,0.00144732,85343,-7.8228,1.23263,2.79103,5.18439e-05,22.2843,0.0360268,0.00143903,0,0,0.00144725,85341
23,-1.11204,1.47656,0.188759,2.34294e-05,11.8491,0.0167356,0.00139997,0,0,0.00114101,43810,-6.59749,1.21027,2.53715,6.35963e-05,17.55,0.0356972,0.00178155,0,0,0.00113952,43669
24,-0.28778,1.55085,0.0746952,2.55724e-05,14.4965,0.0192576,0.00132791,0,0,0.00192239,99950,-7.84678,1.21945,2.91739,4.19649e-05,21.4479,0.0319493,0.00131348,0,0,0.00192239,99950
25,-0.86912,1.54182,0.0584845,1.92734e-05,30.0143,0.0240617,0.000801001,0,0,0.00192348,99978,-7.49148,1.23322,2.67127,8.52205e-05,21.384,0.0452377,0.00188384,0,0,0.00192348,99978
26,-1.42326,1.52315,0.101255,2.11032e-05,29.8818,0.0251403,0.000839419,0,0,0.00152661,88366,-6.54836,1.22113,2.43688,0.000103728,18.0071,0.0459949,0.00225521,0,0,0.00152661,88366
27,-1.53973,1.51342,0.125562,2.00885e-05,26.8455,0.0232607,0.000863623,0,0,0.00126487,80095,-5.84689,1.21409,2.23462,9.23354e-05,15.7459,0.0406827,0.00226965,0,0,0.00126482,80094
28,-1.05173,1.5043,0.132822,2.41784e-05,15.857,0.0196237,0.0012321,0,0,0.00183662,97672,-5.55806,1.20431,2.1933,6.74498e-05,14.5407,0.0335359,0.00201127,0,0,0.00183662,97672
29,-0.753641,1.49993,0.146412,1.75314e-05,10.7093,0.0137363,0.00127628,0,0,0.00180723,89236,-6.11177,1.2223,2.27291,4.51351e-05,16.8743,0.0293573,0.00153744,0,0,0.00180592,89110
